反対語チェック	比較対象A_ID	比較対象B_ID	分類項目	分類番号	比較対象A	比較対象B	正順	反対語でない	置き換え不可	置き換え可	調査人数	逆順	反対語でない	置き換え不可	置き換え可	調査人数	差分	反対語でない	反対語でない絶対値	置換可（双方向）	合計	反対語でない	置き換え不可	置き換え可	タイプ	比較対象A_ID	比較対象A_表層形	比較対象A_SUW_頻度	比較対象A_LUW_頻度	比較対象B_ID	比較対象B_表層形	比較対象B_SUW_頻度	比較対象B_LUW_頻度	SUW比	LUW比	対数SUW比	対数LUW比	word2vec 距離	比較対象A_UniDic語彙素番号	比較対象B_UniDic語彙素番号	比較対象A_語彙素番号当たりの分類語彙表番号数	比較対象B_語彙素番号当たりの分類語彙表番号数	比較対象Aからみた反対語数	比較対象Bからみた反対語数
-	100102	100109	相-自然-生命-生理・病気など	3.5710	強健	強い		0	0.5	0.5	20		0	0.15	0.85	20		0	0	0.675		0	0.325	0.675	その他開	100102	強健	67	36	100109	強い	28414	25457	0.002357993	0.001414149	2.627457573	2.849504722	UNDEF	51164	24791	2	4	2	2
-	19	20	体-関係-事柄-事柄	1.1000	雑事	雑件		0.85	0.1	0.05	20		0.85	0.05	0.1	20		0	0	0.075		0.85	0.075	0.075	-	19	雑事	88	75	20	雑件	0	0					UNDEF	54203	54199	2	1
-	55	56	体-関係-事柄-事柄	1.1000	余の儀	余儀		0.75	0.05	0.2	20		0.75	0.2	0.05	20		0	0	0.125		0.75	0.125	0.125	-	55	余の儀	0	0	56	余儀	817	12					UNDEF		39176	0	1
-	75	76	体-関係-事柄-事柄	1.1000	あれこれ	あれやこれや		0.75	0.2	0.05	20		0.85	0.05	0.1	20		-0.1	0.1	0.075		0.8	0.125	0.075	-	75	あれこれ	0	0	76	あれやこれや	0	0					UNDEF	1277		2	0
-	84	85	体-関係-事柄-事柄	1.1000	現象	自然現象		0.9	0.1	0	20		0.85	0.05	0.1	20		0.05	0.05	0.05		0.875	0.075	0.05	-	84	現象	5752	3215	85	自然現象	0	161					UNDEF	11680		1	0
-	89	90	体-関係-事柄-事柄	1.1000	出来事	事件		0.9	0.1	0	20		0.85	0.1	0.05	20		0.05	0.05	0.025		0.875	0.1	0.025	-	89	出来事	3589	3495	90	事件	21188	9517	0.169388333	0.367237575	0.771116506	0.435052889	UNDEF	25619	17811	1	1
-	95	96	体-関係-事柄-事柄	1.1000	事故	交通事故		0.9	0	0.1	20		0.9	0.05	0.05	20		0	0	0.075		0.9	0.025	0.075	-	95	事故	11643	4523	96	交通事故	0	1314					UNDEF	17817		3	0
-	136	137	体-関係-事柄-事柄	1.1000	騒ぎ	武勇伝		0.95	0.05	0	20		0.9	0.05	0.05	20		0.05	0.05	0.025		0.925	0.05	0.025	-	136	騒ぎ	1400	1024	137	武勇伝	0	41					UNDEF	14479		2	0
-	213	214	体-関係-事柄-真偽・是非	1.1030	真（しん）	真如		0.95	0	0.05	20		0.85	0.15	0	20		0.1	0.1	0.025		0.9	0.075	0.025	-	213	真	9423	6134	214	真如	56	27	168.2678571	227.1851852	2.226001164	2.356380007	UNDEF	17234	55949	1	1
-	229	230	体-関係-事柄-真偽・是非	1.1030	事実	現実		0.8	0.05	0.15	20		0.85	0.15	0	20		-0.05	0.05	0.075		0.825	0.1	0.075	-	229	事実	15163	11881	230	現実	12195	8889	1.243378434	1.336595793	0.09460333	0.12600009	UNDEF	17863	11688	2	1
-	255	256	体-関係-事柄-真偽・是非	1.1030	夢物語	一場の夢		0.8	0	0.2	20		0.85	0.15	0	20		-0.05	0.05	0.1		0.825	0.075	0.1	-	255	夢物語	0	82	256	一場の夢	0	0					UNDEF			0	0
-	309	310	体-関係-事柄-本体・代理	1.1040	体用（たいよう・たいゆう）	体用（たいよう）		0.7	0.05	0.25	20		0.9	0.05	0.05	20		-0.2	0.2	0.15		0.8	0.05	0.15	-	309	体用	2	0	310	体用	2	0					UNDEF		59160	0	1
-	350	351	体-関係-事柄-本体・代理	1.1040	正副	正（せい）		0.95	0	0.05	20		1	0	0	20		-0.05	0.05	0.025		0.975	0	0.025	-	350	正副	39	7	351	正	3223	678	0.012100527	0.010324484	1.917195698	1.986131654	UNDEF	19979	19687	1	5
-	361	362	体-関係-事柄-本体・代理	1.1040	贋物（がんぶつ）	贋造物		0.8	0.05	0.15	20		0.95	0	0.05	20		-0.15	0.15	0.1		0.875	0.025	0.1	-	361	贋物	9	8	362	贋造物	0	0					UNDEF	49388		1	0
-	418	419	体-関係-事柄-本体・代理	1.1040	材料	好材料		1	0	0	20		0.85	0.15	0	20		0.15	0.15	0		0.925	0.075	0	-	418	材料	8892	5729	419	好材料	0	33					UNDEF	14811		2	0
-	431	432	体-関係-類-類・例	1.1100	種類	範疇		0.9	0.05	0.05	20		0.9	0	0.1	20		0	0	0.075		0.9	0.025	0.075	-	431	種類	12416	6474	432	範疇	388	298	32	21.72483221	1.505149978	1.336956431	UNDEF	16462	30406	1	1
-	434	435	体-関係-類-類・例	1.1100	種（しゅ）	類（るい）		0.9	0.05	0.05	20		0.95	0	0.05	20		-0.05	0.05	0.05		0.925	0.025	0.05	-	434	種	12291	5965	435	類	8574	736	1.433519944	8.104619565	0.156403739	0.908732634	UNDEF	16025	40456	3	2
-	475	476	体-関係-類-類・例	1.1100	ジャンル	式		0.9	0.05	0.05	20		0.95	0.05	0	20		-0.05	0.05	0.025		0.925	0.05	0.025	-	475	ジャンル	997	806	476	式	17428	2668	0.057206794	0.302098951	1.242552393	0.519850783	UNDEF	18143	15099	1	1
-	508	509	体-関係-類-類・例	1.1100	象徴	シンボル		0.85	0.05	0.1	20		0.85	0	0.15	20		0	0	0.125		0.85	0.025	0.125	-	508	象徴	3067	1083	509	シンボル	934	609	3.28372591	1.778325123	0.5163669	0.250011164	UNDEF	16768	17548	2	1
-	528	529	体-関係-類-類・例	1.1100	例	一例		0.75	0.05	0.2	20		1	0	0	20		-0.25	0.25	0.1		0.875	0.025	0.1	-	528	例	18270	13415	529	一例	0	980					UNDEF	40555		4	0
